"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_hlcal_scp_global,0.8963,0.0044,0.9473,0.0022,3.0849,0.0671,0.3794,0.0102,9.3154,0.6937,0.9671,0.0020,1.2361,0.0069,0.7639,0.0069,1.6930,0.1966,0.9275,0.0034,2.4715,0.0411,0.4853,0.0098,6.6615,0.5874
hl_hlcal_scp_task,0.9017,0.0073,0.9495,0.0039,3.2818,0.0908,0.3638,0.0147,8.0300,0.9121,0.9501,0.0048,1.1573,0.0122,0.8427,0.0122,0.8425,0.2555,0.9489,0.0041,2.8154,0.0504,0.4246,0.0106,4.4110,0.4235
hl_hlcal_ccp_class,0.9021,0.0069,0.9500,0.0036,3.4849,0.0829,0.2445,0.0163,5.2864,0.5917,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9500,0.0053,2.9903,0.0500,0.2841,0.0176,1.0834,0.0819
hl_hlcal_ccp_task_cluster,0.9021,0.0069,0.9500,0.0036,3.4849,0.0829,0.2445,0.0163,5.2864,0.5917,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9500,0.0053,2.9903,0.0500,0.2841,0.0176,1.0834,0.0819
hl_hlcal_ccp_global_cluster,0.9021,0.0069,0.9500,0.0036,3.4849,0.0829,0.2445,0.0163,5.2864,0.5917,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9500,0.0053,2.9903,0.0500,0.2841,0.0176,1.0834,0.0819
