"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_hlcal_scp_global,0.8980,0.0046,0.9477,0.0024,3.1542,0.0491,0.3913,0.0089,9.5049,0.6114,0.9669,0.0018,1.2276,0.0089,0.7724,0.0089,1.6771,0.1796,0.9286,0.0040,2.5068,0.0274,0.4817,0.0055,7.3102,0.4952
ll_hlcal_scp_task,0.8986,0.0062,0.9478,0.0033,3.3417,0.0992,0.3720,0.0137,8.6709,0.7376,0.9486,0.0040,1.1557,0.0127,0.8443,0.0127,0.5850,0.1733,0.9469,0.0063,2.8471,0.0676,0.4248,0.0111,5.3229,0.5894
ll_hlcal_ccp_class,0.9015,0.0048,0.9495,0.0027,3.5623,0.0785,0.2467,0.0221,4.9669,0.3565,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9493,0.0042,3.0310,0.0524,0.2757,0.0255,0.8638,0.1472
ll_hlcal_ccp_task_cluster,0.9015,0.0048,0.9495,0.0027,3.5623,0.0785,0.2467,0.0221,4.9669,0.3565,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9493,0.0042,3.0310,0.0524,0.2757,0.0255,0.8638,0.1472
ll_hlcal_ccp_global_cluster,0.9015,0.0048,0.9495,0.0027,3.5623,0.0785,0.2467,0.0221,4.9669,0.3565,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9493,0.0042,3.0310,0.0524,0.2757,0.0255,0.8638,0.1472
