"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_llcal_scp_global,0.9490,0.0049,0.9743,0.0024,5.7186,0.1433,0.3100,0.0116,4.1940,0.5184,0.9877,0.0016,1.5721,0.0155,0.4279,0.0155,3.7704,0.1544,0.9609,0.0045,3.2243,0.0591,0.3579,0.0119,3.8301,0.4403
ll_llcal_ccp_class,0.9489,0.0043,0.9793,0.0015,5.8973,0.1041,0.2409,0.0120,1.3895,0.2052,0.9903,0.0012,1.7069,0.0116,0.2931,0.0116,4.0244,0.1215,0.9684,0.0027,3.4811,0.0276,0.2432,0.0127,1.5124,0.2908
ll_llcal_ccp_global_cluster,0.9489,0.0043,0.9793,0.0015,5.8973,0.1041,0.2409,0.0120,1.3895,0.2052,0.9903,0.0012,1.7069,0.0116,0.2931,0.0116,4.0244,0.1215,0.9684,0.0027,3.4811,0.0276,0.2432,0.0127,1.5124,0.2908
