"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_hlcal_scp_global,0.8954,0.0047,0.9468,0.0025,3.2045,0.0745,0.4126,0.0112,9.1081,0.5669,0.9655,0.0023,1.2269,0.0089,0.7731,0.0089,1.5243,0.2270,0.9281,0.0035,2.5855,0.0422,0.5229,0.0089,6.2329,0.3239
hl_hlcal_scp_task,0.9006,0.0083,0.9490,0.0045,3.3523,0.1013,0.3959,0.0178,7.9147,0.9861,0.9501,0.0048,1.1573,0.0122,0.8427,0.0122,0.8425,0.2555,0.9479,0.0058,2.8755,0.0609,0.4624,0.0140,4.1598,0.4798
hl_hlcal_ccp_class,0.9015,0.0075,0.9498,0.0039,3.5816,0.0892,0.2281,0.0137,5.2880,0.6633,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9494,0.0060,3.0736,0.0564,0.2650,0.0149,0.9875,0.1952
hl_hlcal_ccp_task_cluster,0.9015,0.0075,0.9498,0.0039,3.5816,0.0892,0.2281,0.0137,5.2880,0.6633,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9494,0.0060,3.0736,0.0564,0.2650,0.0149,0.9875,0.1952
hl_hlcal_ccp_global_cluster,0.9015,0.0075,0.9498,0.0039,3.5816,0.0892,0.2281,0.0137,5.2880,0.6633,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9494,0.0060,3.0736,0.0564,0.2650,0.0149,0.9875,0.1952
