"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_llcal_scp_global,0.9489,0.0047,0.9741,0.0023,5.9641,0.1333,0.3406,0.0131,3.7904,0.4747,0.9870,0.0014,1.5871,0.0157,0.4129,0.0157,3.6938,0.1328,0.9612,0.0041,3.2800,0.0625,0.3774,0.0148,3.4842,0.3577
hl_llcal_ccp_class,0.9485,0.0040,0.9806,0.0018,6.2435,0.1451,0.2017,0.0114,1.5842,0.1485,0.9933,0.0014,1.7573,0.0328,0.2427,0.0328,4.3199,0.1416,0.9679,0.0025,3.5937,0.0303,0.2022,0.0121,1.7108,0.2715
hl_llcal_ccp_global_cluster,0.9485,0.0040,0.9806,0.0018,6.2435,0.1451,0.2017,0.0114,1.5842,0.1485,0.9933,0.0014,1.7573,0.0328,0.2427,0.0328,4.3199,0.1416,0.9679,0.0025,3.5937,0.0303,0.2022,0.0121,1.7108,0.2715
