"('Experience', '')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_llcal_scp_global,6.0610,0.1533,0.3433,0.0149,3.9529,0.5893,1.5899,0.0170,0.4101,0.0170,3.6962,0.1273,3.3160,0.0667,0.3724,0.0146,3.6925,0.4861
ll_llcal_ccp_class,6.3506,0.1133,0.2268,0.0073,1.2765,0.1288,1.7391,0.0061,0.2609,0.0061,4.2389,0.0673,3.6261,0.0356,0.2273,0.0078,1.7009,0.1150
ll_llcal_ccp_global_cluster,6.3506,0.1133,0.2268,0.0073,1.2765,0.1288,1.7391,0.0061,0.2609,0.0061,4.2389,0.0673,3.6261,0.0356,0.2273,0.0078,1.7009,0.1150
