"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_hlcal_scp_global,0.8978,0.0039,0.9476,0.0021,3.3112,0.0419,0.4212,0.0088,9.3214,0.4456,0.9656,0.0021,1.2210,0.0090,0.7790,0.0090,1.5431,0.2151,0.9296,0.0033,2.6511,0.0207,0.5145,0.0049,7.0407,0.3496
ll_hlcal_scp_task,0.8983,0.0046,0.9476,0.0025,3.4337,0.0690,0.3975,0.0120,8.4292,0.7523,0.9486,0.0040,1.1557,0.0127,0.8443,0.0127,0.5850,0.1733,0.9466,0.0058,2.9283,0.0508,0.4555,0.0113,5.0226,0.7872
ll_hlcal_ccp_class,0.9006,0.0056,0.9490,0.0031,3.6243,0.0667,0.2513,0.0080,5.0516,0.4226,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9484,0.0049,3.0838,0.0358,0.2801,0.0098,0.8844,0.1312
ll_hlcal_ccp_task_cluster,0.9006,0.0056,0.9490,0.0031,3.6243,0.0667,0.2513,0.0080,5.0516,0.4226,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9484,0.0049,3.0838,0.0358,0.2801,0.0098,0.8844,0.1312
ll_hlcal_ccp_global_cluster,0.9006,0.0056,0.9490,0.0031,3.6243,0.0667,0.2513,0.0080,5.0516,0.4226,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9484,0.0049,3.0838,0.0358,0.2801,0.0098,0.8844,0.1312
