"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_hlcal_scp_global,0.9028,0.0080,0.9497,0.0044,1.5764,0.1115,0.7587,0.0127,7.3506,0.5116,0.9406,0.0045,1.2817,0.0440,0.8584,0.0079,3.6221,0.3656,0.9589,0.0049,1.2148,0.0352,0.8835,0.0066,2.8032,0.1903
hl_hlcal_scp_task,0.9047,0.0059,0.9505,0.0033,1.6842,0.0910,0.7570,0.0089,7.1674,0.3652,0.9492,0.0038,1.4896,0.0657,0.8337,0.0066,3.3326,0.1687,0.9518,0.0042,1.1259,0.0193,0.9074,0.0058,3.1471,0.2641
hl_hlcal_ccp_class,0.9105,0.0073,0.9536,0.0040,2.5671,0.1673,0.5956,0.0375,6.2217,0.5361,0.9549,0.0032,1.7242,0.0346,0.7300,0.0173,1.7140,0.4333,0.9522,0.0054,1.4806,0.0856,0.8131,0.0418,1.6256,0.4197
hl_hlcal_ccp_task_cluster,0.9094,0.0060,0.9529,0.0035,1.9319,0.0653,0.6667,0.0160,6.9020,0.4578,0.9540,0.0045,1.7122,0.0438,0.7326,0.0160,1.7336,0.4360,0.9518,0.0042,1.1259,0.0193,0.9074,0.0058,3.1471,0.2641
hl_hlcal_ccp_global_cluster,0.9105,0.0073,0.9536,0.0040,2.5671,0.1673,0.5956,0.0375,6.2217,0.5361,0.9549,0.0032,1.7242,0.0346,0.7300,0.0173,1.7140,0.4333,0.9522,0.0054,1.4806,0.0856,0.8131,0.0418,1.6256,0.4197
