"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_hlcal_scp_global,0.9046,0.0050,0.9512,0.0026,2.1135,0.0704,0.6687,0.0081,7.5306,0.4560,0.9522,0.0038,1.4071,0.0261,0.8089,0.0057,2.4588,0.2316,0.9502,0.0017,1.4321,0.0295,0.8177,0.0056,3.5847,0.3628
ll_hlcal_scp_task,0.9050,0.0041,0.9514,0.0022,2.1473,0.0716,0.6666,0.0085,7.5134,0.4638,0.9524,0.0057,1.4286,0.0720,0.8072,0.0116,2.4877,0.3318,0.9504,0.0029,1.4347,0.0429,0.8167,0.0077,3.5572,0.5823
ll_hlcal_ccp_class,0.9157,0.0051,0.9567,0.0027,3.9557,0.1964,0.5032,0.0362,5.8611,0.7522,0.9609,0.0046,1.7330,0.0593,0.7472,0.0102,1.6772,0.1655,0.9524,0.0012,2.1706,0.0923,0.6524,0.0480,1.4891,0.3930
ll_hlcal_ccp_task_cluster,0.9130,0.0041,0.9554,0.0021,2.5643,0.0546,0.6257,0.0104,6.9281,0.5993,0.9603,0.0051,1.7126,0.0714,0.7568,0.0119,1.7276,0.1492,0.9504,0.0029,1.4347,0.0429,0.8167,0.0077,3.5572,0.5823
ll_hlcal_ccp_global_cluster,0.9157,0.0051,0.9567,0.0027,3.9557,0.1964,0.5032,0.0362,5.8611,0.7522,0.9609,0.0046,1.7330,0.0593,0.7472,0.0102,1.6772,0.1655,0.9524,0.0012,2.1706,0.0923,0.6524,0.0480,1.4891,0.3930
