score,calibration_level,overall_eff_mean_mean,overall_eff_mean_std,overall_inf_mean_mean,overall_inf_mean_std,overall_covgap_mean_mean,overall_covgap_mean_std,n
Hinge,Joint,11.703841666666667,19.825706251983163,0.17905833333333332,0.15158967018257086,3.5884750000000003,1.5731698533534137,12
Hinge,Task-wise,2.35684,0.8395661758187662,0.422435,0.20837229655998948,7.002905,1.8694385643190197,20
Margin,Joint,25.944000000000003,25.605428941854573,0.256575,0.19596676492340592,3.2723666666666666,1.378093680239174,12
Margin,Task-wise,2.99913,0.7758878351519906,0.47031999999999996,0.18862321562756848,6.667495,1.3610990398532627,20
PIP,Joint,21.401524999999996,23.64019261712503,0.2563083333333333,0.18172669018127863,3.3712250000000004,1.380540347522072,12
PIP,Task-wise,2.69082,0.8407337450734704,0.47024,0.18895289137214794,6.697775,1.485398298127121,20
