model_architecture,calibration_level,method,overall_eff_mean_mean,overall_eff_mean_std,overall_inf_mean_mean,overall_inf_mean_std,overall_covgap_mean_mean,overall_covgap_mean_std,n
Joint-output,Joint,JJ,20.916033333333335,24.37837412568289,0.23231666666666667,0.1563890745770267,3.43185,1.5011220137930557,18
Joint-output,Task-wise,JT,2.8397133333333335,0.8120822685236847,0.43481,0.1662600483870228,6.8106366666666664,1.6936179531900974,30
Task-wise,Joint,TJ,18.45021111111111,22.745450685483274,0.22897777777777778,0.19859865101003715,3.3895277777777775,1.3586993117578452,18
Task-wise,Task-wise,TT,2.5248133333333334,0.8665369855939785,0.47385333333333335,0.21856460850731071,6.7681466666666665,1.4585065625219313,30
