dataset,calibration_level,overall_eff_mean_mean,overall_eff_mean_std,overall_inf_mean_mean,overall_inf_mean_std,overall_covgap_mean_mean,overall_covgap_mean_std,n
SGVehicle,Joint,34.06258888888889,25.999101053597286,0.25198333333333334,0.23706108731220957,4.426827777777778,0.3782730321210667,18
SGVehicle,Task-wise,2.01471,0.7004667608102473,0.63144,0.0748676284725478,6.841493333333333,0.865011939297046,30
UTKFace,Joint,5.303655555555555,1.0307630521478752,0.20931111111111111,0.08211512641972918,2.39455,1.3306905461849057,18
UTKFace,Task-wise,3.349816666666667,0.22138910679885637,0.2772233333333334,0.07548651253510553,6.73729,2.059770607808817,30
