dataset,method,model_architecture,calibration_level,overall_eff_mean_mean,overall_eff_mean_std,overall_inf_mean_mean,overall_inf_mean_std,overall_covgap_mean_mean,overall_covgap_mean_std,n
SGVehicle,JJ,Joint-output,Joint,36.50233333333333,26.74124001318002,0.24369999999999997,0.21393692411549717,4.504022222222222,0.4404671746503302,9
SGVehicle,JT,Joint-output,Task-wise,2.2940466666666666,0.8244841355717671,0.5850866666666666,0.05817165321782799,6.894046666666667,0.9973043860231197,15
SGVehicle,TJ,Task-wise,Joint,31.622844444444443,26.606652486742444,0.26026666666666665,0.2711038085309758,4.349633333333333,0.31088300452099354,9
SGVehicle,TT,Task-wise,Task-wise,1.7353733333333332,0.41155197114384096,0.6777933333333334,0.06018754577706809,6.78894,0.7412173325010688,15
UTKFace,JJ,Joint-output,Joint,5.329733333333333,1.0980851082680252,0.22093333333333331,0.07688767781640957,2.3596777777777778,1.4170036395311216,9
UTKFace,JT,Joint-output,Task-wise,3.3853799999999996,0.2196507168860858,0.2845333333333333,0.07404739473247297,6.727226666666667,2.2208198291450407,15
UTKFace,TJ,Task-wise,Joint,5.277577777777777,1.0249063271560208,0.1976888888888889,0.09007226882404547,2.429422222222222,1.3236998713622528,9
UTKFace,TT,Task-wise,Task-wise,3.3142533333333333,0.22487906548907138,0.26991333333333334,0.07877766059946062,6.747353333333334,1.9636952345247565,15
