method,model_architecture,calibration_level,overall_eff_mean_mean,overall_eff_mean_std,overall_inf_mean_mean,overall_inf_mean_std,n
JJ,Joint-output,Joint,20.916033333333335,24.37837412568289,0.23231666666666667,0.1563890745770267,18
JT,Joint-output,Task-wise,2.8397133333333335,0.8120822685236847,0.43481,0.1662600483870228,30
TJ,Task-wise,Joint,18.45021111111111,22.745450685483274,0.22897777777777778,0.19859865101003715,18
TT,Task-wise,Task-wise,2.5248133333333334,0.8665369855939785,0.47385333333333335,0.21856460850731071,30
