"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_llcal_scp_global,0.9488,0.0042,0.9778,0.0019,3.7099,0.0491,0.1230,0.0047,4.5779,0.3661,0.9905,0.0011,1.4744,0.0095,0.5256,0.0095,4.0514,0.1129,0.9650,0.0035,2.9027,0.0272,0.2368,0.0050,3.4753,0.2195
hl_llcal_ccp_class,0.9476,0.0048,0.9782,0.0022,4.0705,0.0756,0.0839,0.0058,1.4416,0.3267,0.9894,0.0013,1.4739,0.0116,0.5261,0.0116,3.9343,0.1330,0.9670,0.0035,3.1676,0.0463,0.1468,0.0100,1.8207,0.2802
hl_llcal_ccp_global_cluster,0.9476,0.0048,0.9782,0.0022,4.0705,0.0756,0.0839,0.0058,1.4416,0.3267,0.9894,0.0013,1.4739,0.0116,0.5261,0.0116,3.9343,0.1330,0.9670,0.0035,3.1676,0.0463,0.1468,0.0100,1.8207,0.2802
