"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_hlcal_scp_global,0.8987,0.0055,0.9483,0.0029,2.9341,0.0406,0.2957,0.0062,11.0436,0.7134,0.9825,0.0016,1.3531,0.0073,0.6469,0.0073,3.2412,0.1636,0.9141,0.0046,2.1096,0.0209,0.4121,0.0058,10.0862,0.6434
ll_hlcal_scp_task,0.8998,0.0050,0.9482,0.0028,3.0134,0.0653,0.2783,0.0096,8.6102,0.7428,0.9486,0.0040,1.1557,0.0127,0.8443,0.0127,0.5850,0.1733,0.9478,0.0051,2.5648,0.0391,0.3147,0.0068,5.2679,0.6171
ll_hlcal_ccp_class,0.9005,0.0033,0.9490,0.0019,3.3442,0.0663,0.2060,0.0104,5.0909,0.4145,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9483,0.0037,2.8425,0.0405,0.2289,0.0126,1.0699,0.2756
ll_hlcal_ccp_task_cluster,0.9005,0.0033,0.9490,0.0019,3.3442,0.0663,0.2060,0.0104,5.0909,0.4145,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9483,0.0037,2.8425,0.0405,0.2289,0.0126,1.0699,0.2756
ll_hlcal_ccp_global_cluster,0.9005,0.0033,0.9490,0.0019,3.3442,0.0663,0.2060,0.0104,5.0909,0.4145,0.9497,0.0046,1.1597,0.0128,0.8403,0.0128,0.5201,0.3094,0.9483,0.0037,2.8425,0.0405,0.2289,0.0126,1.0699,0.2756
