"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_llcal_scp_global,0.9482,0.0039,0.9775,0.0016,3.6708,0.0564,0.1505,0.0079,4.5486,0.6867,0.9893,0.0009,1.4554,0.0109,0.5446,0.0109,3.9367,0.0910,0.9656,0.0030,2.9136,0.0303,0.2494,0.0058,3.4337,0.3724
ll_llcal_ccp_class,0.9472,0.0036,0.9784,0.0014,4.0107,0.1025,0.1246,0.0099,1.6048,0.5899,0.9882,0.0006,1.4515,0.0157,0.5485,0.0157,3.8186,0.0602,0.9686,0.0027,3.1762,0.0501,0.1758,0.0127,1.9517,0.2139
ll_llcal_ccp_global_cluster,0.9472,0.0036,0.9784,0.0014,4.0107,0.1025,0.1246,0.0099,1.6048,0.5899,0.9882,0.0006,1.4515,0.0157,0.5485,0.0157,3.8186,0.0602,0.9686,0.0027,3.1762,0.0501,0.1758,0.0127,1.9517,0.2139
