"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_hlcal_scp_global,0.8969,0.0024,0.9476,0.0011,2.8357,0.0246,0.2719,0.0065,10.7752,0.4351,0.9823,0.0013,1.3584,0.0046,0.6416,0.0046,3.2234,0.1367,0.9129,0.0015,2.0673,0.0166,0.4062,0.0081,9.4926,0.3312
hl_hlcal_scp_task,0.9016,0.0041,0.9495,0.0022,3.0009,0.0521,0.2574,0.0071,8.5421,0.5177,0.9501,0.0048,1.1573,0.0122,0.8427,0.0122,0.8425,0.2555,0.9488,0.0031,2.5795,0.0257,0.2989,0.0044,4.8753,0.4023
hl_hlcal_ccp_class,0.9010,0.0041,0.9494,0.0023,3.2514,0.0753,0.1833,0.0147,5.2672,0.4079,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9487,0.0035,2.7940,0.0523,0.2121,0.0158,1.1089,0.2458
hl_hlcal_ccp_task_cluster,0.9010,0.0041,0.9494,0.0023,3.2514,0.0753,0.1833,0.0147,5.2672,0.4079,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9487,0.0035,2.7940,0.0523,0.2121,0.0158,1.1089,0.2458
hl_hlcal_ccp_global_cluster,0.9010,0.0041,0.9494,0.0023,3.2514,0.0753,0.1833,0.0147,5.2672,0.4079,0.9501,0.0050,1.1580,0.0138,0.8420,0.0138,0.6098,0.2445,0.9487,0.0035,2.7940,0.0523,0.2121,0.0158,1.1089,0.2458
