"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_hlcal_scp_global,0.9024,0.0077,0.9494,0.0042,1.3877,0.0317,0.7458,0.0138,7.4302,0.4750,0.9403,0.0045,1.2037,0.0159,0.8510,0.0090,3.6427,0.3951,0.9585,0.0043,1.1560,0.0131,0.8766,0.0069,2.9770,0.2353
hl_hlcal_scp_task,0.9034,0.0068,0.9499,0.0037,1.4175,0.0418,0.7440,0.0120,7.2990,0.4549,0.9486,0.0043,1.2763,0.0256,0.8233,0.0084,3.2653,0.2183,0.9512,0.0045,1.1124,0.0127,0.9034,0.0082,3.2883,0.2648
hl_hlcal_ccp_class,0.9148,0.0060,0.9559,0.0033,2.1591,0.1482,0.6159,0.0328,5.7350,0.3776,0.9565,0.0033,1.5542,0.0469,0.7410,0.0163,1.7770,0.3928,0.9554,0.0043,1.3802,0.0768,0.8277,0.0342,1.7182,0.2355
hl_hlcal_ccp_task_cluster,0.9054,0.0066,0.9509,0.0037,1.7067,0.0718,0.6734,0.0179,7.3798,0.5393,0.9505,0.0044,1.5301,0.0530,0.7425,0.0172,2.1430,0.3963,0.9512,0.0045,1.1124,0.0127,0.9034,0.0082,3.2883,0.2648
hl_hlcal_ccp_global_cluster,0.9031,0.0064,0.9497,0.0036,1.8756,0.0884,0.6589,0.0178,6.4092,0.4284,0.9534,0.0044,1.5409,0.0525,0.7425,0.0172,1.9214,0.3966,0.9460,0.0061,1.2086,0.0202,0.8835,0.0152,1.9938,0.3009
