"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_llcal_scp_global,0.9499,0.0030,0.9747,0.0016,12.3770,0.7296,0.6183,0.0075,4.4364,0.2221,0.9675,0.0028,2.1618,0.0615,0.7333,0.0067,2.6938,0.0879,0.9819,0.0011,2.0424,0.0588,0.7577,0.0066,3.2268,0.2314
hl_llcal_ccp_class,0.9619,0.0016,0.9955,0.0007,67.1317,0.8475,0.0000,0.0000,4.0175,0.1555,1.0000,0.0000,12.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.9909,0.0014,8.7896,0.2005,0.0000,0.0000,4.5774,0.0689
hl_llcal_ccp_global_cluster,0.9537,0.0032,0.9873,0.0014,21.8418,1.8122,0.1165,0.0052,4.3424,0.2053,0.9859,0.0020,5.5997,0.4660,0.1337,0.0130,3.5836,0.2024,0.9887,0.0013,4.8496,0.2895,0.1235,0.0073,3.8256,0.1008
