"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_hlcal_scp_global,0.9059,0.0062,0.9518,0.0034,1.6941,0.0464,0.6434,0.0116,7.5158,0.6368,0.9521,0.0051,1.2880,0.0182,0.7943,0.0078,2.5667,0.2199,0.9515,0.0023,1.2918,0.0154,0.7992,0.0072,3.7796,0.3888
ll_hlcal_scp_task,0.9058,0.0059,0.9517,0.0032,1.6925,0.0397,0.6438,0.0108,7.5672,0.5385,0.9522,0.0058,1.2906,0.0262,0.7935,0.0109,2.5922,0.2756,0.9513,0.0024,1.2884,0.0149,0.8008,0.0077,3.8181,0.4182
ll_hlcal_ccp_class,0.9185,0.0050,0.9581,0.0025,3.0222,0.1228,0.5427,0.0222,5.4675,0.5592,0.9618,0.0046,1.4470,0.0309,0.7501,0.0094,1.7444,0.1373,0.9544,0.0017,2.0222,0.0746,0.7043,0.0297,1.5802,0.3883
ll_hlcal_ccp_task_cluster,0.9108,0.0059,0.9539,0.0032,1.8610,0.0525,0.6130,0.0091,7.1798,0.5012,0.9566,0.0064,1.4138,0.0422,0.7544,0.0112,1.7468,0.1298,0.9513,0.0024,1.2884,0.0149,0.8008,0.0077,3.8181,0.4182
ll_hlcal_ccp_global_cluster,0.9143,0.0050,0.9559,0.0025,2.9958,0.1230,0.5438,0.0219,5.6909,0.5424,0.9586,0.0046,1.4372,0.0290,0.7517,0.0089,1.6617,0.1354,0.9532,0.0018,2.0202,0.0743,0.7043,0.0297,1.5007,0.3559
