"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_llcal_scp_global,0.9522,0.0024,0.9762,0.0011,18.9687,0.4451,0.5243,0.0068,4.6005,0.4301,0.9783,0.0019,2.7423,0.0380,0.6583,0.0046,2.8422,0.1776,0.9742,0.0013,2.6218,0.0374,0.6582,0.0064,2.8397,0.0957
ll_llcal_ccp_class,0.9632,0.0021,0.9944,0.0014,70.4594,0.8145,0.0000,0.0000,4.1059,0.1339,1.0000,0.0000,12.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.9888,0.0028,8.7047,0.0838,0.0000,0.0000,4.4580,0.1197
ll_llcal_ccp_global_cluster,0.9565,0.0028,0.9882,0.0007,31.3303,2.3122,0.2804,0.0066,4.5341,0.4090,0.9906,0.0015,6.4201,0.2209,0.2840,0.0065,4.0538,0.1457,0.9857,0.0027,5.4495,0.1379,0.2860,0.0078,3.4517,0.1818
