"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Overall CovGap', 'mean')","('Overall CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_llcal_scp_global,0.9519,0.0027,0.9779,0.0013,2.1091,0.0279,0.3404,0.0091,5.4959,0.4111,0.9790,0.0018,1.5186,0.0146,0.5943,0.0085,3.2084,0.1792,0.9768,0.0013,1.5461,0.0108,0.5889,0.0056,3.8937,0.1984
ll_llcal_ccp_class,0.9619,0.0013,0.9912,0.0008,54.2965,0.0657,0.0000,0.0000,4.0327,0.0787,1.0000,0.0000,12.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.9824,0.0016,6.5002,0.0335,0.0000,0.0000,3.9813,0.0393
ll_llcal_ccp_global_cluster,0.9576,0.0014,0.9823,0.0004,2.6697,0.0736,0.2606,0.0061,4.6776,0.3230,0.9857,0.0019,1.7733,0.0346,0.4983,0.0091,3.5726,0.1874,0.9789,0.0012,1.8011,0.0305,0.4966,0.0081,2.8054,0.1155
