"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
hl_hlcal_scp_global,0.9052,0.0048,0.9507,0.0027,1.3336,0.0141,0.7254,0.0097,7.6056,0.2822,0.9421,0.0031,1.1663,0.0077,0.8401,0.0069,3.4295,0.1927,0.9594,0.0029,1.1424,0.0059,0.8632,0.0046,3.4033,0.3356
hl_hlcal_scp_task,0.9038,0.0055,0.9500,0.0032,1.3367,0.0157,0.7231,0.0120,7.6639,0.3631,0.9496,0.0032,1.2039,0.0106,0.8092,0.0083,3.0362,0.1815,0.9505,0.0048,1.1086,0.0084,0.8928,0.0080,3.5489,0.3855
hl_hlcal_ccp_class,0.9147,0.0054,0.9560,0.0029,1.5286,0.0297,0.6204,0.0125,5.6263,0.4793,0.9569,0.0038,1.2876,0.0160,0.7401,0.0100,1.6148,0.2166,0.9552,0.0045,1.1844,0.0228,0.8355,0.0177,1.8489,0.1930
hl_hlcal_ccp_task_cluster,0.9088,0.0046,0.9529,0.0026,1.4298,0.0196,0.6660,0.0111,7.1954,0.3629,0.9553,0.0028,1.2857,0.0153,0.7422,0.0104,1.6716,0.1375,0.9505,0.0048,1.1086,0.0084,0.8928,0.0080,3.5489,0.3855
hl_hlcal_ccp_global_cluster,0.9147,0.0054,0.9560,0.0029,1.5286,0.0297,0.6204,0.0125,5.6263,0.4793,0.9569,0.0038,1.2876,0.0160,0.7401,0.0100,1.6148,0.2166,0.9552,0.0045,1.1844,0.0228,0.8355,0.0177,1.8489,0.1930
