"('Experience', '')","('Overall Coverage', 'mean')","('Overall Coverage', 'std')","('Taskwise Coverage', 'mean')","('Taskwise Coverage', 'std')","('Overall Eff', 'mean')","('Overall Eff', 'std')","('Overall Inf', 'mean')","('Overall Inf', 'std')","('Joint Classwise CovGap', 'mean')","('Joint Classwise CovGap', 'std')","('0 - Task Coverage', 'mean')","('0 - Task Coverage', 'std')","('0 - Task Eff', 'mean')","('0 - Task Eff', 'std')","('0 - Task Inf', 'mean')","('0 - Task Inf', 'std')","('0 - Task CovGap', 'mean')","('0 - Task CovGap', 'std')","('1 - Task Coverage', 'mean')","('1 - Task Coverage', 'std')","('1 - Task Eff', 'mean')","('1 - Task Eff', 'std')","('1 - Task Inf', 'mean')","('1 - Task Inf', 'std')","('1 - Task CovGap', 'mean')","('1 - Task CovGap', 'std')"
ll_hlcal_scp_global,0.9044,0.0053,0.9506,0.0029,1.5681,0.0208,0.6000,0.0117,8.1825,0.4914,0.9533,0.0037,1.2536,0.0103,0.7616,0.0087,2.8325,0.1252,0.9479,0.0023,1.2420,0.0079,0.7761,0.0065,4.6387,0.2498
ll_hlcal_scp_task,0.9044,0.0055,0.9505,0.0029,1.5723,0.0210,0.5986,0.0114,8.3317,0.5825,0.9509,0.0045,1.2426,0.0116,0.7707,0.0098,2.9361,0.1231,0.9501,0.0023,1.2563,0.0087,0.7655,0.0071,4.5659,0.2996
ll_hlcal_ccp_class,0.9138,0.0061,0.9555,0.0032,1.8128,0.0340,0.5261,0.0103,5.9355,0.6450,0.9581,0.0043,1.3013,0.0131,0.7338,0.0098,1.5125,0.1297,0.9529,0.0025,1.3764,0.0146,0.7007,0.0078,1.5190,0.4453
ll_hlcal_ccp_task_cluster,0.9106,0.0053,0.9539,0.0028,1.6426,0.0324,0.5714,0.0143,7.9100,0.5412,0.9576,0.0038,1.2974,0.0182,0.7350,0.0120,1.6207,0.2166,0.9501,0.0023,1.2563,0.0087,0.7655,0.0071,4.5659,0.2996
ll_hlcal_ccp_global_cluster,0.9138,0.0061,0.9555,0.0032,1.8128,0.0340,0.5261,0.0103,5.9355,0.6450,0.9581,0.0043,1.3013,0.0131,0.7338,0.0098,1.5125,0.1297,0.9529,0.0025,1.3764,0.0146,0.7007,0.0078,1.5190,0.4453
